TeacherID,TeacherName,Department,MaxHours,ElectiveEligible
T001,Dr. CSE Faculty 1,CSE,38,Yes
T002,Dr. CSE Faculty 2,CSE,42,Yes
T003,Dr. CSE Faculty 3,CSE,40,Yes
T004,Dr. CSE Faculty 4,CSE,38,Yes
T005,Dr. CSE Faculty 5,CSE,45,Yes
T006,Dr. CSE Faculty 6,CSE,38,Yes
T007,Dr. CSE Faculty 7,CSE,40,Yes
T008,Dr. CSE Faculty 8,CSE,38,Yes
T009,Dr. CSE Faculty 9,CSE,45,Yes
T010,Dr. CSE Faculty 10,CSE,45,No
T011,Dr. CSE Faculty 11,CSE,38,Yes
T012,Dr. CSE Faculty 12,CSE,45,No
T013,Dr. ECE Faculty 1,ECE,42,Yes
T014,Dr. ECE Faculty 2,ECE,40,No
T015,Dr. ECE Faculty 3,ECE,38,Yes
T016,Dr. ECE Faculty 4,ECE,45,Yes
T017,Dr. ECE Faculty 5,ECE,42,No
T018,Dr. ECE Faculty 6,ECE,42,Yes
T019,Dr. ECE Faculty 7,ECE,45,Yes
T020,Dr. ECE Faculty 8,ECE,45,Yes
T021,Dr. ECE Faculty 9,ECE,42,No
T022,Dr. ECE Faculty 10,ECE,40,Yes
T023,Dr. ECE Faculty 11,ECE,38,Yes
T024,Dr. ECE Faculty 12,ECE,42,Yes
T025,Dr. ME Faculty 1,ME,40,Yes
T026,Dr. ME Faculty 2,ME,45,No
T027,Dr. ME Faculty 3,ME,45,No
T028,Dr. ME Faculty 4,ME,40,No
T029,Dr. ME Faculty 5,ME,42,Yes
T030,Dr. ME Faculty 6,ME,42,Yes
T031,Dr. ME Faculty 7,ME,40,Yes
T032,Dr. ME Faculty 8,ME,40,No
T033,Dr. ME Faculty 9,ME,45,No
T034,Dr. ME Faculty 10,ME,40,No
T035,Dr. ME Faculty 11,ME,38,Yes
T036,Dr. ME Faculty 12,ME,38,No
T037,Dr. CIVIL Faculty 1,CIVIL,45,No
T038,Dr. CIVIL Faculty 2,CIVIL,38,Yes
T039,Dr. CIVIL Faculty 3,CIVIL,42,Yes
T040,Dr. CIVIL Faculty 4,CIVIL,45,No
T041,Dr. CIVIL Faculty 5,CIVIL,45,Yes
T042,Dr. CIVIL Faculty 6,CIVIL,42,Yes
T043,Dr. CIVIL Faculty 7,CIVIL,40,No
T044,Dr. CIVIL Faculty 8,CIVIL,45,No
T045,Dr. CIVIL Faculty 9,CIVIL,42,Yes
T046,Dr. CIVIL Faculty 10,CIVIL,40,No
T047,Dr. CIVIL Faculty 11,CIVIL,38,Yes
T048,Dr. CIVIL Faculty 12,CIVIL,38,Yes
T049,Dr. ISE Faculty 1,ISE,40,No
T050,Dr. ISE Faculty 2,ISE,38,No
T051,Dr. ISE Faculty 3,ISE,45,No
T052,Dr. ISE Faculty 4,ISE,42,Yes
T053,Dr. ISE Faculty 5,ISE,38,No
T054,Dr. ISE Faculty 6,ISE,42,Yes
T055,Dr. ISE Faculty 7,ISE,42,No
T056,Dr. ISE Faculty 8,ISE,40,No
T057,Dr. ISE Faculty 9,ISE,38,No
T058,Dr. ISE Faculty 10,ISE,40,Yes
T059,Dr. ISE Faculty 11,ISE,42,Yes
T060,Dr. ISE Faculty 12,ISE,40,No
T061,Dr. AIML Faculty 1,AIML,40,Yes
T062,Dr. AIML Faculty 2,AIML,42,No
T063,Dr. AIML Faculty 3,AIML,38,Yes
T064,Dr. AIML Faculty 4,AIML,42,No
T065,Dr. AIML Faculty 5,AIML,40,Yes
T066,Dr. AIML Faculty 6,AIML,40,Yes
T067,Dr. AIML Faculty 7,AIML,38,No
T068,Dr. AIML Faculty 8,AIML,38,Yes
T069,Dr. AIML Faculty 9,AIML,40,No
T070,Dr. AIML Faculty 10,AIML,40,No
T071,Dr. AIML Faculty 11,AIML,45,Yes
T072,Dr. AIML Faculty 12,AIML,40,No
T073,Dr. EEE Faculty 1,EEE,45,No
T074,Dr. EEE Faculty 2,EEE,45,No
T075,Dr. EEE Faculty 3,EEE,38,Yes
T076,Dr. EEE Faculty 4,EEE,40,Yes
T077,Dr. EEE Faculty 5,EEE,42,Yes
T078,Dr. EEE Faculty 6,EEE,40,Yes
T079,Dr. EEE Faculty 7,EEE,38,Yes
T080,Dr. EEE Faculty 8,EEE,38,Yes
T081,Dr. EEE Faculty 9,EEE,38,Yes
T082,Dr. EEE Faculty 10,EEE,42,Yes
T083,Dr. EEE Faculty 11,EEE,40,No
T084,Dr. EEE Faculty 12,EEE,45,Yes
T085,Dr. BT Faculty 1,BT,40,No
T086,Dr. BT Faculty 2,BT,40,No
T087,Dr. BT Faculty 3,BT,45,Yes
T088,Dr. BT Faculty 4,BT,38,Yes
T089,Dr. BT Faculty 5,BT,45,No
T090,Dr. BT Faculty 6,BT,45,No
T091,Dr. BT Faculty 7,BT,45,Yes
T092,Dr. BT Faculty 8,BT,38,Yes
T093,Dr. BT Faculty 9,BT,45,No
T094,Dr. BT Faculty 10,BT,38,Yes
T095,Dr. BT Faculty 11,BT,40,Yes
T096,Dr. BT Faculty 12,BT,45,Yes
T097,Dr. Science Faculty 1,BASIC-SCI,40,No
T098,Dr. Science Faculty 2,BASIC-SCI,38,No
T099,Dr. Science Faculty 3,BASIC-SCI,40,No
T100,Dr. Science Faculty 4,BASIC-SCI,40,No
